entry_key,first_author,country_alpha3
,"Liu, Xiangfeng",COM
,"Roberts, Cameron L.",COM
,"Ramirez-Salgado, Andrea",COM
,"Sha, Zhibing",COM
,"Nantes-Sobrinho, Daniele",COM
,"Aceto, Luca",COM
,"Xu, Liang",COM
,"Fashwan, Amany",COM
,"Kühn, Ramona",COM
,"Shao, Qijia",COM
,"Connolly, Randy",COM
,"Aguilera, Juan P.",COM
,"Kramarczuk, Kristina",COM
,"Khan, Md Aquil",COM
,"Hella, Lauri",COM
,"Badia, Guillermo",COM
,"Falakh, Faiq",COM
,"Dong, Yangjing",COM
,"Huang, Zizhou",COM
,"Fabiano, Francesco",COM
,"Rosillo-Rodes, Pablo",COM
,"Sitaraman, Anupama",COM
,"Howlader, Prosenjit",COM
,"Place, Thomas",COM
,"Difranco, Giuliano",COM
,"Erlich, Enzo",COM
,"Garapa, Marco",COM
,"Xu, Han",COM
,"Salvi, Rohan Charudatt",COM
,"Kesler, Emily",COM
,"Piazza, Mario",COM
,"Jahanifar, Mostafa",COM
,"Ghosh, Souradip",COM
,"Yan, Jiebin",COM
,"Pradeep, Anagha",COM
,"Attie, Paul C.",COM
,"Ciardo, Lorenzo",COM
,"Barichard, Vincent",COM
,"Wee, Chyanna",COM
,"Oliveira, Igor C.",COM
,"Maggi, Fabrizio M.",COM
,"Gurevich, Yuri",COM
,"Ganty, Pierre",COM
,"Ketsman, Bas",COM
,"Wertenbroek, Rick",COM
,"Aziz, Haris",COM
,"Grohe, Martin",COM
,"Belardinelli, Francesco",COM
,"Shao, Qijia",COM
,"Homaeian, Leila",COM
,"Carragher, Peter",COM
,"Chen, Zhibo",COM
,"Dongol, Brijesh",COM
,"Almeida, Virgílio",COM
,"Tamimi, Sajjad",COM
,"Fomin, Fedor V.",COM
,"Larrauri, Alberto",COM
,"Nehme, Elias",COM
,"Li, Zhaoheng",COM
,"Alexander, Emma",COM
,"Becker, Quentin",COM
,"Le, Qiqin",COM
,"Bergstra, Jan A.",COM
,"Wang, Zhiyuan",COM
,"Dubiel, Mateusz",COM
,"Cruz-Filipe, Luís",COM
,"Torán, Jacobo",COM
,"Redondi, Gianluca",COM
